Class,X1,Y1,X2,Y2,Confidence
Cicadellidae,12.73822,244.82745,800.21533,720.0,0.43592268
Cicadellidae,20.967834,242.58823,802.9002,720.0,0.3040594
Cicadellidae,11.450806,233.35672,793.2491,720.0,0.36655974
Cicadellidae,0.0,232.74219,793.61646,720.0,0.3500964
Cicadellidae,6.2187805,220.52782,787.0547,720.0,0.35615507
Cicadellidae,3.960083,224.37653,777.6846,720.0,0.41305366
Cicadellidae,0.0,229.60936,770.77423,720.0,0.58788115
Cicadellidae,0.0,231.4976,776.1975,720.0,0.6594898
Cicadellidae,0.0,229.8228,789.09393,720.0,0.5456423
Cicadellidae,0.0,236.24078,788.88116,719.8998,0.49397743
Cicadellidae,0.0,242.76611,793.0048,720.0,0.50943553
Cicadellidae,11.78241,244.53812,809.1851,720.0,0.49027404
Cicadellidae,22.929382,233.6095,819.14935,720.0,0.38063315
Cicadellidae,14.831329,235.40417,811.3956,720.0,0.38658074
Cicadellidae,15.693207,237.64929,799.5488,720.0,0.36454067
Cicadellidae,0.0,221.86649,792.9425,720.0,0.43990818
Cicadellidae,18.95514,194.54865,805.60364,699.914,0.42761394
Cicadellidae,11.06842,193.84521,799.9454,709.96606,0.59319377
Cicadellidae,8.676453,177.47284,795.0447,705.6742,0.65574116
Cicadellidae,9.307709,183.26889,787.89905,710.7831,0.6594009
Cicadellidae,3.7114563,188.38533,784.6427,694.69135,0.54575515
Cicadellidae,0.0,181.89447,780.4475,704.48145,0.5195092
Cicadellidae,0.94296265,172.79605,775.5121,700.72266,0.57007873
Cicadellidae,1.4569702,167.70972,778.90265,699.30695,0.6095463
Cicadellidae,0.0,192.38602,782.5875,703.7119,0.5695626
Cicadellidae,0.0,183.2634,780.88477,695.64746,0.52957296
Cicadellidae,0.0,178.9093,783.51135,701.6043,0.48801196
Cicadellidae,0.0,180.9154,784.1486,701.76306,0.50418615
Cicadellidae,0.0,187.28201,785.4074,699.7119,0.49694216
Cicadellidae,0.0,188.61447,786.6017,702.19116,0.4777438
Cicadellidae,0.0,194.41116,781.76404,708.4768,0.61088383
Cicadellidae,2.7294006,197.07874,784.0542,700.23285,0.54912114
Cicadellidae,0.03375244,196.8378,787.2455,699.6067,0.53854066
Cicadellidae,0.038330078,178.70828,788.1823,697.09863,0.48538825
Cicadellidae,0.2558899,179.52411,782.9957,700.06146,0.5678824
Cicadellidae,0.0,177.75632,783.8946,695.8684,0.5767183
Cicadellidae,0.0,165.32321,786.50024,706.16736,0.60374266
Cicadellidae,0.0,167.06525,787.5438,699.5927,0.5354576
Cicadellidae,0.17782593,192.85202,793.93896,706.78516,0.53367865
Cicadellidae,10.806244,191.97018,809.9935,713.4115,0.5244307
Cicadellidae,10.276459,186.41083,801.32263,717.1734,0.51118547
Cicadellidae,29.582886,182.69644,826.65625,715.0713,0.4054088
Cicadellidae,41.846466,175.46997,851.881,716.34674,0.32445055
Cicadellidae,42.167236,181.43362,854.9509,709.4154,0.4211925
Cicadellidae,32.372284,177.67859,830.36926,710.1639,0.31125188
Cicadellidae,25.018188,175.9649,809.2874,704.08167,0.3093999
Cicadellidae,16.019104,204.46901,852.3972,705.0689,0.34912762
Cicadellidae,31.614685,203.19612,842.44324,703.76685,0.36243367
Cicadellidae,28.651611,201.41988,838.32904,713.3797,0.41089976
Cicadellidae,14.250305,208.91261,794.3312,708.9114,0.41362962
Cicadellidae,12.735443,207.95229,790.4313,704.4385,0.50008345
Cicadellidae,13.137909,208.01091,792.14185,702.61957,0.3452579
Cicadellidae,21.776337,207.42459,796.17725,704.11,0.31656682
Cicadellidae,26.493683,206.41446,802.07227,708.3933,0.31390926
Cicadellidae,27.51593,211.8478,810.2034,709.8178,0.41461635
Cicadellidae,25.439697,235.95148,806.08606,714.1457,0.31951416
Cicadellidae,19.361023,231.54567,803.6121,720.0,0.36037976
Cicadellidae,18.67331,229.8414,811.8301,720.0,0.49890286
Cicadellidae,8.646698,226.09628,811.9363,720.0,0.44666743
Cicadellidae,16.123047,225.89082,809.4344,720.0,0.5635827
Cicadellidae,14.745361,229.02837,816.6913,720.0,0.5145374
Cicadellidae,13.889709,221.20844,820.5163,720.0,0.5462235
Cicadellidae,27.621857,212.09695,835.62085,720.0,0.37772432
Cicadellidae,23.557861,211.64835,837.9675,720.0,0.44555363
Cicadellidae,22.932526,218.28934,845.0442,720.0,0.4499719
Cicadellidae,23.851257,222.14557,847.1241,720.0,0.33634144
Cicadellidae,24.596924,227.58336,845.68555,720.0,0.32787174
Cicadellidae,25.491028,230.65002,838.0611,720.0,0.3918263
Cicadellidae,27.259705,213.99191,842.0748,720.0,0.59086293
Cicadellidae,13.312042,201.82623,831.6078,720.0,0.61295605
Cicadellidae,21.75232,204.27808,843.0798,720.0,0.51079124
Cicadellidae,23.646942,211.9004,833.51,711.674,0.36885592
Cicadellidae,28.35019,210.08261,840.0803,711.963,0.30612984
Cicadellidae,29.900574,193.29102,833.8552,712.1064,0.41712898
Cicadellidae,14.832062,198.73337,811.7372,710.55994,0.5010993
Cicadellidae,11.815033,174.15744,807.88184,702.4031,0.51532644
Cicadellidae,9.740082,176.1055,801.2257,701.89246,0.62364197
Cicadellidae,2.962738,186.31229,799.17737,714.3926,0.6770545
Cicadellidae,2.0983582,172.63156,795.1725,710.6758,0.564597
Cicadellidae,0.8609009,157.52017,791.9893,707.02344,0.65086585
Cicadellidae,0.0,158.72607,791.6437,688.53,0.67747897
Cicadellidae,2.9221497,157.7467,788.99133,692.301,0.6903421
Cicadellidae,0.0,159.57999,791.2865,683.2881,0.6588733
Cicadellidae,6.839966,154.54495,792.7974,688.12476,0.67068046
Cicadellidae,0.0,157.82703,792.9419,684.29004,0.6674333
Cicadellidae,0.18099976,154.45267,788.3954,692.1013,0.6297292
Cicadellidae,4.3561096,158.22552,782.2291,687.2786,0.62924564
Cicadellidae,0.0,156.27325,787.80426,681.1534,0.62818134
Cicadellidae,4.7489624,157.96158,787.8198,684.55237,0.6215594
Cicadellidae,0.0,154.85858,786.6001,690.93866,0.6115525
Cicadellidae,5.647583,162.37665,793.3003,699.6809,0.5296926
Cicadellidae,5.9886475,172.42584,795.0624,691.24854,0.5641105
Cicadellidae,6.716217,177.1004,789.95166,688.9109,0.5285461
Cicadellidae,2.8872375,176.29666,790.8081,699.6018,0.46660343
Cicadellidae,8.177124,170.86801,782.97687,693.42004,0.46671674
Cicadellidae,0.0,169.52744,781.16223,704.3657,0.55467796
Cicadellidae,0.0,169.79117,779.89014,695.9197,0.3685499
Cicadellidae,8.2239685,167.40363,782.2378,716.2345,0.48541084
Cicadellidae,0.0,148.4885,770.2277,697.62256,0.5227898
Cicadellidae,0.6265869,164.0105,760.15027,713.9798,0.6039879
Cicadellidae,5.915924,167.00497,745.4818,708.2788,0.48746324
Cicadellidae,8.374725,182.76013,749.59546,706.7722,0.3829191
Cicadellidae,5.938385,190.94872,747.99634,702.8969,0.4051767
Cicadellidae,6.671417,182.16391,748.94446,706.57275,0.46494603
Cicadellidae,4.2405396,180.58875,745.3722,705.7074,0.5124203
Cicadellidae,1.467865,178.6576,746.2905,717.1186,0.5694589
Cicadellidae,0.61135864,175.11307,741.8231,719.515,0.6093011
Cicadellidae,1.0988464,184.1962,747.8976,715.1655,0.55869037
Cicadellidae,0.10784912,179.74963,747.9097,713.7355,0.47391897
Cicadellidae,0.25637817,194.57906,750.40845,703.97034,0.53692406
Cicadellidae,0.0,197.64175,743.3015,705.9359,0.50058997
Cicadellidae,0.0,196.6589,741.09204,710.13074,0.53726184
Cicadellidae,0.0,194.07791,739.69415,708.83276,0.48201317
Cicadellidae,0.0,191.75687,749.24866,705.9951,0.5655534
Cicadellidae,0.0,186.20154,740.77405,704.89825,0.49563083
Cicadellidae,0.0,194.07724,741.01636,698.9341,0.49423748
Cicadellidae,0.0,209.91518,742.2999,698.0215,0.47379795
Cicadellidae,1.3889465,212.34854,738.01355,699.6395,0.4228787
Cicadellidae,2.0627441,208.45778,730.1141,694.23035,0.3601947
Cicadellidae,0.0,221.58742,725.765,701.0978,0.4457971
Cicadellidae,0.118927,227.75218,712.90344,689.97107,0.46894088
Cicadellidae,0.86209106,228.93008,713.75525,695.6146,0.41276976
Cicadellidae,0.0,228.33366,709.947,704.16364,0.4730473
Cicadellidae,0.39569092,225.62337,720.1491,702.0901,0.4625794
Cicadellidae,0.0,228.49507,722.787,712.9785,0.5401363
Cicadellidae,0.0,232.69083,730.5648,708.59094,0.57814103
Cicadellidae,0.06326294,235.35077,726.59436,714.88434,0.5936157
Cicadellidae,0.0,240.71692,722.9681,720.0,0.6333877
Cicadellidae,0.0,234.54236,723.1,720.0,0.6138891
Cicadellidae,0.0,234.35919,712.75366,720.0,0.5395377
Cicadellidae,0.0,233.48102,709.9237,720.0,0.538052
Cicadellidae,0.5057068,233.84564,716.6782,720.0,0.5372323
Cicadellidae,0.0,248.19147,725.6521,720.0,0.31643602
Cicadellidae,0.6663513,248.35263,724.3961,720.0,0.40128088
Cicadellidae,1.7145996,244.84967,724.62756,720.0,0.3484374
Cicadellidae,0.90701294,253.23035,733.8253,720.0,0.4001343
Cicadellidae,0.74368286,267.55795,728.7379,720.0,0.45237562
Cicadellidae,0.0,282.01813,731.08374,720.0,0.46530113
Cicadellidae,0.0,279.3249,724.1537,720.0,0.5613267
Cicadellidae,2.163269,288.4352,721.88556,720.0,0.37936282
